Lesson,New word,Collection size,Version 1,Version 2,Version 3
60,fill,60,sam can fill the sad sack.,fill the mitt! fill the sack!,can the ant fill the sack?
61,land,61,the ram can run on the land!,"mom, see the land near the sand!","sam sat on the land, not sand!"
62,lick,62,the cat can lick the sad rat!,mom! the fat cat can lick mom!,can a rat lick the fat cat?
63,lid,63,the lid is on the sad sack.,"sam, see the lid on the rack!",can the lid fit on the mitt?
64,lock,64,the lock is on the sad sack.,sam can lock the rat in it.,"a lock? on a mitt? sam, see!"
65,luck,65,"sam, luck is on the fat cat.",luck! luck! the ant is on sam!,"mom, luck is not on the cat."
66,duck,66,the duck sat on the land. mad!,a duck can lick the sad ram.,"mom, the duck is on the mitt!"
67,feel,67,sam can feel the sand on feet.,"feel the mud! feel the sand, sam!",the cat can feel the mad rat.
68,we,68,we can sit and eat the nut.,we can feed the sad fat cat.,"we can run on the land, mom!"
69,will,69,sam will eat the meat and nut.,we will run! we will eat! fun!,will the cat lick the fat ram?
70,win,70,the ant will win! sit on sam!,can sam win? can the cat win?,the cat will win the fat nut.
71,with,71,sam can sit with the cat and mom.,the fat rat is with the sad ram.,we will run with the duck and ant.
72,gun,72,the man can sit with a fat gun.,"a gun on the land? mom, not fun!",the cat is not fun with a gun.
73,i,73,i can sit with mom and the cat.,i can feel the sun on the sand.,i will feed the cat and the rat.
74,rag,74,mom can feel the rag on the sand.,i can see a rag near the cat.,"the rag sat on the fat, sad cat."
75,rug,75,the fat cat sat on the sad rug.,i will sit on the rug with mom.,the fat cat can sit on the rug!
76,log,76,a log sat near the fat sad ram.,sam can sit on a log with mom.,the ant can run on the sad log.
77,said,77,"mom said, sam, sit on the fat log.","sam said, mom, we can eat the nut!","the cat said, i will eat the rat!"
78,shack,78,sam sat in the shack with the cat.,the shack is near the land and sand.,"mom said, sam, is the fat shack sad?"
79,she,79,she can run with the fat sad ant.,mom is mad. she will eat the nut!,"she said, i can feed the fat cat."
80,shot,80,mom shot the rat! the rat is mad.,i shot the rack! the rack is sad.,she shot the nut at the mad ram!
81,ate,81,the cat ate the rat and the mad ant!,"sam ate a lot and said, mom, a lot!",we ate the fat nut with the sad cat.
82,fish,82,"sam ate a fish and said, mom, a fish!",the fat fish can sit on the sad mitt.,"mom, i will feed a fish and a rat."
83,late,83,mom is late. the cat is late and mad!,"i am late, said the ant. the ram ate.",the late man sat with the cat on it.
84,made,84,mom made a sack and sam sat on it!,sam made a mud fish and ate the nut.,i made the rag and mom made the rug.
85,tail,85,the cat and the rat can see a tail.,sam can feel the tail on the sad cat!,i can see the tail on the fat rat.
86,wish,86,"i wish i can eat the fat nut, mom!","sam said, i wish the ram is not mad!",we wish the cat and the rat can sit.
87,hate,87,"i hate the mud! sam said, mom, i hate!",the cat hate the rat and the fat ant.,we hate the sad rat and the mad ram!
88,cow,88,the cow sat on the land and ate nut.,the mad cow ate sam. not a fun cow!,we hate the fat cow! the cow hate sam!
89,did,89,"i did eat the fat nut! mom, i did.",sam did see a fat rat in the mud.,"did the cat eat the nut? mom, did it?"
90,dish,90,the cat ate the fat nut on a dish.,"sam, the dish is on the sad fat cat!",did the cat sit on the dish? mad cat!
91,game,91,sam will run a game. mom will run the game.,the game! sam can run and mom can win it!,a mad game! the cat and the rat can sit.
92,gate,92,sam sat at the gate with the cat and mom.,the gate is on the land. the ram is mad!,we can sit near the gate and feed the rat.
93,now,93,"the cat is mad now! sam, run! mom, run! fun!",i ate the nut. now i will run with mom!,"now the rat is on the log. mad, mad cat!"
94,wow,94,wow! the cat is on the log with the rat!,i said wow! the duck is on the fat ram!,"wow, said mom. the cat is on the sad ram!"
95,gates,95,the gates is mad at sam. sam will run now!,the cat sat on the gates. the ram is mad!,we can run near the gates with the sad cow.
96,was,96,the cat was mad. the rat was sad. fat mom!,sam was on the log. mom was near the sand.,i was sick. now i will eat the fat nut.
97,has,97,sam has a dish and mom has a sad rug.,mom has a sack and the cat has a seed.,the cat has a nut. the rat has a seed!
98,he,98,he was mad! he sat on the log and ate.,sam is sad. he will sit on the sad log.,"he said, i wish the fat cat was not mad!"
99,hill,99,sam sat on the hill. mom sat near the sand.,we can run on the hill with the mad cow!,the hill is near the shack. we will eat nut!
100,him,100,"sam said, feed him! and mom ate the fat nut.",i can see him. he is on the fat log.,the cat was on him. he was not a fan!
101,his,101,sam has his rock. the cat has his nut and seed.,he sat on his log. he ate his fat sad nut!,his rag is sad. his rug is mad. fat sad sam!
102,hits,102,the cat hits the rat. sam hits the mad fat ant!,sam hits the mitt! the mitt hits a sad fat rat!,the duck hits a log! the fat ant hits sad mom!
103,hot,103,"the hot sun is on sam. mom said, i am hot!","mom said, the dish is hot! sam ate the hot nut.","the hot nut is on the fat cat. mom said, wow!"
104,hug,104,mom can hug sam! sam will hug the fat sad cat.,i will hug mom. mom will hug sam. and we hug!,the fat cat will hug the rat. sam can see it!
105,kick,105,"sam can kick the rock! mom said, not on the log!",the ram will kick the gate. the cat will run now!,i can kick a nut! sam will kick the fat rat.
106,kiss,106,mom can kiss sam. sam can kiss the sad fat cat.,i can kiss mom. the cat can kiss the sad rat.,i will kiss mom. the cat can kiss the fat rat!
107,nod,107,sam can nod. the cat can nod. we will nod now!,i will nod at the cat. the fat ram will nod.,"mom said, sam, nod if the fat cat will run now."
108,cake,108,mom made a fat cake! sam ate the cake and mom!,the cat ate the cake! mom is mad at him now.,the cake is on the dish. sam hits the fat cake!
109,go,109,"sam said, mom, i will go run with the fat cat!","go, sam, go! the mad ram will kick the fat gate!","the cat will go with mom. sam said, i will go!"
110,had,110,sam had a cake. the cat had the cake. mad sam!,mom had a rat in a sack. the rat was mad.,i had a hug. mom had a kiss. we had fun!
111,lake,111,sam sat at the lake with the fat cat. mom had fun.,the duck sat near the lake. he will lick the fat fish.,"mom said, sam, go see the lake! it has a fat fish!"
112,no,112,"no! the fat cat hits the rat. mom said, no, cat, no!","sam said, no cake, mom! i ate a lot. i am sad.","no, the ram is not sad. no, the cat is mad! run!"
113,nose,113,"the cat has a nose. mom said, it is a little nose!","sam hits his nose on the gate. mom said, no, sam, no!","the ant sat on his nose! he said, no, ant! no, ant!"
114,teeth,114,the cat has fat teeth. the rat has little teeth. the ant!,"sam will not lick his teeth. mom said, no, sam, no teeth!",the ram has fat teeth. he will eat a nut and rock!
115,ham,115,"sam ate the fat ham. mom said, sam, the ham was hot!",the cat will eat the ham on the sad fat dish. fun!,mom made ham. sam ate the fat ham. the cat had it!
116,kitten,116,"the kitten sat on sam. sam said, it is a little kitten!",mom has a little kitten. the kitten can lick mom and sam.,"the kitten will hug sam. sam can hug the little, fat kitten!"
117,old,117,the old cat sat on the old rug. sam will sit now!,"mom is not old. she will not eat the old, old ham.",the old ram is mad! he will kick the fat old gate!
118,so,118,"the sun is so hot! sam said, mom, i am so hot!",the cat is so fat! it will not run on the lake!,"mom said, so, sam, did the old fat cat eat the nut?"
119,take,119,"mom said, sam, take the ham and feed the old cat now!",the kitten will take a nut. the ant will take the seed.,"i can take the mitt. sam will take the sad, old rug."
120,tame,120,the tame cat sat on sam. the tame rat sat on mom.,the ram is not tame. he will kick the gate and run.,"a tame duck can sit on a tame cow. wow, so tame!"
121,lots,121,"sam ate lots and lots. mom said, no, sam, that is a lot!",the cat had lots. the rat had lots. and the ant had little!,mom made lots. sam ate lots. the cat and the rat had lots!
122,rocks,122,old rocks sat on a hill. sam and mom sat on the rocks.,the ram hits the rocks and he is so mad now! kick it!,sam had lots and lots. he hits a rock at the fat log.
123,same,123,sam and mom had the same ham. the cat ate the same nut!,the old ram and the old fat cow is the same! so sad!,the kitten and the mad rat take the same old fat log now!
124,have,124,i have a cat and a kitten. mom has lots and lots now!,the ram can have a nut. the ant will have the old seed.,"sam said, mom, can i have the ham? and the cat had it."
125,make,125,mom can make a cake. sam will make a fat mud fish. wow!,the old cat will make the rat mad. the rat hits him now!,"sam said, mom, can we make a hot ham? we can take it!"
126,of,126,sam had a lot of ham. the fat cat ate lots of it!,mom made lots of cake. sam ate lots and lots of the cake!,"the old ram ate a lot of seed. he said, i am fat!"
127,sacks,127,mom had sacks of ham. sam has a fat sack of seed. fun!,the sacks is fat. sam sat on the sacks. the rat hits it!,"the old ram hits the sacks of seed. mom said, no, ram, no!"
128,save,128,"sam will save the ham. the cat will not have it! save, sam!","mom said, save the cake! the kitten will take a lick of it!",save the seed! the fat ant will take lots if we have it!
129,coat,129,sam has a coat. the coat is on the old log. so sad!,"mom said, take the coat! it is so hot. the sun is hot!","the cat sat on the coat. sam said, no, cat, no! his coat!"
130,cold,130,"sam is cold! mom said, take the coat! it is so cold now!",the ham was cold. the cake is cold. sam is so cold now!,"mom said, sam, the cat is cold. she will sit on the rug."
131,for,131,mom made a cake for sam. sam made a mud fish for the cat.,the ham is for sam. the seed is for the fat old ant now.,sam will save a rock for mom. mom will save the cake for sam!
132,gave,132,mom gave sam a hug. sam gave mom a kiss. the cat gave nod.,the old ram gave sam a kick! sam gave the ram a sad nod.,sam gave the fat old cat a nut. the cat gave sam a lick!
133,goat,133,"the goat ate the coat! mom said, no, goat, no! the goat is mad.",a fat goat sat on the log. the old ram and goat is sad.,sam has a tame goat. the goat will lick sam and hug mom now!
134,need,134,"sam will need a coat. mom said, it is cold! we need ham now.",the cat and the rat need a hug. the ram will need a kiss.,we need a cake! the fat goat will take a lick of it now!
135,or,135,"sam can have a nut or a seed. mom said, take the fat nut!",a goat can eat ham or cake. the cat can eat rat or nut.,"sam said, mom, can i have a hug or a kiss? mom gave lots!"
136,socks,136,sam has hot socks. mom has cold socks. the fat cat hits the socks!,the goat ate the fat socks! mom is so mad at the goat now!,"mom said, sam, take the socks! it is cold! we need lots of socks."
137,coats,137,mom and sam have fat coats. the cat and the rat need coats now!,"the goat ate the coats! mom said, no, goat, no! save the coats now!","sam said, the cat has lots of coats. a cat can have a coat!"
138,goats,138,the goats ate the coats. mom is so mad at the fat old goats!,the goats sat on the log. a mad old goat will kick the log!,"sam said, mom, we need lots of goats. a goat can hug a ram!"
139,hat,139,sam has a hat. the hat is on the log. the cat hits it!,mom made a hat for goat. the goat ate the hat and was sad.,mom gave sam a hat. the cat ate the hat. mom is so mad!
140,hats,140,sam and mom have hats. the cat has lots of hats on his nose.,"the goats ate the hats! mom said, no, goats, no! save the hats, sam!",mom made hats for sam and mom. the fat goat ate the hats now!
141,to,141,sam will run to the lake. the cat will go to the hot lake now!,"mom said, sam, go to the log. take the ham to the fat old goat.",i will go to see the cow. the goats and fat cow need a hug!
142,car,142,sam sat in the car. the fat cat sat on the car. mom had fun!,"the goats ate the car! mom said, no, goats, no! save the fat car, sam!","mom has a fat car. the car is hot. sam said, mom, i am hot!"
143,cop,143,"the cop said, sam, a goat ate the hats! sam said, the goat is mad.","mom said, the cop is fat! the cop gave sam a lick of a cake.","the cop sat in his car. the fat cat sat on him. cop said, no!"
144,ears,144,the goat has fat ears. the cat has little ears. the rat has old ears!,"mom said, sam, the kitten has fat little ears. sam gave the kitten a kiss!",the old ram has fat ears. he will kick if she hits his fat ears!
145,far,145,sam can run far to see the goats. the fat cat will run far now!,"the lake is far. mom said, sam, we need to go now! take a coat.",the old ram is far. the ram is mad! he will kick the fat gate!
146,hop,146,sam will hop. a fat cat will hop. the old ram can not hop now!,"the ant will hop on sam. sam said, no, ant! hop on the old log!","the goats hop on the fat log. hop, goats! mom and sam will hop now!"
147,mop,147,mom has a fat mop. she will mop the mud. sam hits the fat mop!,the fat cat sat on the mop. the mop is hot. mom is so mad!,"sam said, mom, the fat goat ate the mop! mom said, no! save the mop!"
148,tar,148,"the tar is on the log. sam hits the tar. mom said, no, sam, no!","the cat sat in the tar. mom said, cat is mad! the tar is hot.","the goats sat in the tar. mom said, no, goats! the tar is so hot!"
149,top,149,sam sat on top of a log. the cat sat near a rock. so fun!,a fat hat is on top of sam. the cat is near the hat. wow!,"the goat sat on top of the car! mom said, goat, hop on the log!"
150,dog,150,sam has a dog. the dog can hop and run. the dog will hug sam!,"the dog ate the ham! mom is so mad at the dog. cat said, no!","the dog is far. mom said, sam, we need to go! he is sad now."
151,here,151,"mom said, sam, here is the fat ham. the dog ate it. mom is so mad!",,
152,hope,152,"sam said, i hope the dog will not eat the cake. mom said, we can hope!",,
153,pot,153,mom has a hot pot. the ham is in the pot. the dog hits it now!,,
154,ran,154,the dog ran far. a cat ran in mud. sam ran to the hot ham now!,,
155,us,155,the dog sat with us. the cat will run to us. mom will hug us now!,,
156,cops,156,cops sat in a car. the dog ran to cops. sam gave the cops a hug!,,
157,fog,157,"fog sat on the lake. sam said, the fog is fat! the dog can not see!",,
158,sheep,158,mom has a fat sheep. the sheep ate ham. the sheep sat on sam. so sad!,,
159,are,159,"the sheep are fat. the goats are mad. sam said, the fat hats are hot now!",,
160,came,160,the cat came. the dog came. sam came to the lake and had lots of fun!,,
161,cars,161,mom has cars. sam has cars. the fat dog ate the cars! mom is so mad now!,,
162,chop,162,mom will chop ham. sam can chop cake. the fat dog will chop a hot nut. wow!,,
163,park,163,sam and mom can go to the park. the dog will run in the park. so fun!,,
164,shop,164,mom can shop for ham. sam will shop for cake. the dog ate it now! so mad!,,
165,cakes,165,mom made lots of cakes. sam ate the cakes. the dog had the cakes! mom is mad!,,
166,each,166,mom gave each dog a hug. sam gave each cat a kiss. each goat had fun! wow!,,
167,farm,167,sam can go to a farm. the farm has a fat old cow. the cow ate ham!,,
168,girl,168,"sam said, mom, a girl is here! she has a cat. the girl gave sam a hug!",,
169,home,169,"mom said, we will go home! the dog ran home. the cat sat at home. so fun!",,
170,ship,170,sam has a ship. the fat dog sat on the ship. a cat ran to the ship!,,
171,arm,171,"sam has a fat arm. the cat sat on his arm. mom said, cat will lick his arm!",,
172,charm,172,mom has a charm. the charm is fat. the cat ate the charm! mom is so mad now!,,
173,pots,173,mom has lots of pots. the pots are hot. the dog hits the pots. mom is so mad!,,
174,rain,174,"sam said, rain is hot! the dog ran to the rain. a cat sat in the rain now!",,
175,tops,175,sam has lots of tops. a cat hits the tops! the dog ate the fat tops! so mad!,,
