Lesson,New word,Collection size,Version 1,Version 2,Version 3
60,fill,60,sam can fill the sad sack.,fill the mitt! fill the sack!,can the ant fill the sack?
61,land,61,the ram can run on the land!,"mom, see the land near the sand!","sam sat on the land, not sand!"
62,lick,62,the cat can lick the sad rat!,mom! the fat cat can lick mom!,can a rat lick the fat cat?
63,lid,63,the lid is on the sad sack.,"sam, see the lid on the rack!",can the lid fit on the mitt?
64,lock,64,the lock is on the sad sack.,sam can lock the rat in it.,"a lock? on a mitt? sam, see!"
65,luck,65,"sam, luck is on the fat cat.",luck! luck! the ant is on sam!,"mom, luck is not on the cat."
66,duck,66,the duck sat on the land. mad!,a duck can lick the sad ram.,"mom, the duck is on the mitt!"
67,feel,67,sam can feel the sand on feet.,"feel the mud! feel the sand, sam!",the cat can feel the mad rat.
68,we,68,we can sit and eat the nut.,we can feed the sad fat cat.,"we can run on the land, mom!"
69,will,69,sam will eat the meat and nut.,we will run! we will eat! fun!,will the cat lick the fat ram?
70,win,70,the ant will win! sit on sam!,can sam win? can the cat win?,the cat will win the fat nut.
71,with,71,sam can sit with the cat and mom.,the fat rat is with the sad ram.,we will run with the duck and ant.
72,gun,72,the man can sit with a fat gun.,"a gun on the land? mom, not fun!",the cat is not fun with a gun.
73,i,73,i can sit with mom and the cat.,i can feel the sun on the sand.,i will feed the cat and the rat.
74,rag,74,mom can feel the rag on the sand.,i can see a rag near the cat.,"the rag sat on the fat, sad cat."
75,rug,75,the fat cat sat on the sad rug.,i will sit on the rug with mom.,the fat cat can sit on the rug!
76,log,76,a log sat near the fat sad ram.,sam can sit on a log with mom.,the ant can run on the sad log.
77,said,77,"mom said, sam, sit on the fat log.","sam said, mom, we can eat the nut!","the cat said, i will eat the rat!"
78,shack,78,sam sat in the shack with the cat.,the shack is near the land and sand.,"mom said, sam, is the fat shack sad?"
79,she,79,she can run with the fat sad ant.,mom is mad. she will eat the nut!,"she said, i can feed the fat cat."
80,shot,80,mom shot the rat! the rat is mad.,i shot the rack! the rack is sad.,she shot the nut at the mad ram!
81,ate,81,the cat ate the rat and the mad ant!,"sam ate a lot and said, mom, a lot!",we ate the fat nut with the sad cat.
82,fish,82,"sam ate a fish and said, mom, a fish!",the fat fish can sit on the sad mitt.,"mom, i will feed a fish and a rat."
83,late,83,mom is late. the cat is late and mad!,"i am late, said the ant. the ram ate.",the late man sat with the cat on it.
84,made,84,mom made a sack and sam sat on it!,sam made a mud fish and ate the nut.,i made the rag and mom made the rug.
85,tail,85,the cat and the rat can see a tail.,sam can feel the tail on the sad cat!,i can see the tail on the fat rat.
86,wish,86,"i wish i can eat the fat nut, mom!","sam said, i wish the ram is not mad!",we wish the cat and the rat can sit.
87,hate,87,"i hate the mud! sam said, mom, i hate!",the cat hate the rat and the fat ant.,we hate the sad rat and the mad ram!
88,cow,88,the cow sat on the land and ate nut.,the mad cow ate sam. not a fun cow!,we hate the fat cow! the cow hate sam!
89,did,89,"i did eat the fat nut! mom, i did.",sam did see a fat rat in the mud.,"did the cat eat the nut? mom, did it?"
90,dish,90,the cat ate the fat nut on a dish.,"sam, the dish is on the sad fat cat!",did the cat sit on the dish? mad cat!
91,game,91,sam will run a game. mom will run the game.,the game! sam can run and mom can win it!,a mad game! the cat and the rat can sit.
92,gate,92,sam sat at the gate with the cat and mom.,the gate is on the land. the ram is mad!,we can sit near the gate and feed the rat.
93,now,93,"the cat is mad now! sam, run! mom, run! fun!",i ate the nut. now i will run with mom!,"now the rat is on the log. mad, mad cat!"
94,wow,94,wow! the cat is on the log with the rat!,i said wow! the duck is on the fat ram!,"wow, said mom. the cat is on the sad ram!"
95,gates,95,the gates is mad at sam. sam will run now!,the cat sat on the gates. the ram is mad!,we can run near the gates with the sad cow.
96,was,96,the cat was mad. the rat was sad. fat mom!,sam was on the log. mom was near the sand.,i was sick. now i will eat the fat nut.
97,has,97,sam has a dish and mom has a sad rug.,mom has a sack and the cat has a seed.,the cat has a nut. the rat has a seed!
98,he,98,he was mad! he sat on the log and ate.,sam is sad. he will sit on the sad log.,"he said, i wish the fat cat was not mad!"
99,hill,99,sam sat on the hill. mom sat near the sand.,we can run on the hill with the mad cow!,the hill is near the shack. we will eat nut!
100,him,100,"sam said, feed him! and mom ate the fat nut.",i can see him. he is on the fat log.,the cat was on him. he was not a fan!
